,ImageId,exist_ship
0,f16445c27.jpg,1
1,49f61e424.jpg,1
2,f9eefd48e.jpg,0
3,ab46ec437.jpg,1
4,9f5d2d97b.jpg,0
5,b051f2477.jpg,0
6,84c0874df.jpg,0
7,262b4a6ea.jpg,1
8,c51f74f68.jpg,0
9,54ea4c059.jpg,1
10,f6b9cd464.jpg,0
11,d7783c3f6.jpg,0
12,3e3841345.jpg,1
13,17e2e6a80.jpg,1
14,aafcbfd36.jpg,0
15,d27ca7ed7.jpg,0
16,386629009.jpg,1
17,56990455f.jpg,0
18,f7dee303d.jpg,0
19,179dcd096.jpg,1
20,2ef0374eb.jpg,1
21,c01269474.jpg,0
22,f03ed22c2.jpg,0
23,80594a517.jpg,1
24,79c525dfb.jpg,0
25,390ca1774.jpg,0
26,1f0db10ad.jpg,1
27,93093c09e.jpg,1
28,dff867e20.jpg,0
29,9a5f4656b.jpg,1
30,a27f7c6e1.jpg,0
31,249cb920f.jpg,1
32,c0fde3337.jpg,0
33,1a4d379c1.jpg,1
34,75f592582.jpg,0
35,2a66cbb50.jpg,1
36,427f8e757.jpg,0
37,582c4a048.jpg,1
38,78a8782a6.jpg,0
39,c466efb68.jpg,0
40,e002ec2d5.jpg,1
41,4fdeda409.jpg,0
42,7f9dce9a6.jpg,0
43,401ac932e.jpg,0
44,b1ff2e24b.jpg,0
45,a82bebb5d.jpg,1
46,b43cfb162.jpg,0
47,f42b7eaa7.jpg,0
48,c848efa8d.jpg,0
49,382876096.jpg,0
50,9c7d86e96.jpg,1
51,1ebfc0edf.jpg,1
52,210284cb9.jpg,0
53,7169836af.jpg,1
54,6721d2c13.jpg,1
55,843e06c15.jpg,0
56,df477ddc7.jpg,1
57,f29bd305a.jpg,0
58,62725e1d0.jpg,0
59,4e69d3b18.jpg,0
60,d4268aea3.jpg,0
61,7dbdfa38d.jpg,1
62,2886aa435.jpg,1
63,2431c4d1d.jpg,0
64,7add718b4.jpg,1
65,b5160cecc.jpg,1
66,a42bcd0f2.jpg,1
67,aefbdd319.jpg,1
68,9f03bfdc1.jpg,1
69,65abc03cc.jpg,1
70,20bfb6705.jpg,1
71,e72ece917.jpg,1
72,9074a3d9c.jpg,0
73,acdb8a68e.jpg,1
74,b282a2662.jpg,0
75,f2cc5570b.jpg,1
76,5305b3ffb.jpg,0
77,918d9da61.jpg,0
78,f5c66b0a2.jpg,0
79,5595ff1d9.jpg,0
80,f4aff3a35.jpg,0
81,6c8983b68.jpg,1
82,b2c1fac3d.jpg,0
83,eaf34367a.jpg,0
84,e9122cded.jpg,0
85,6da323c0d.jpg,0
86,809e6d495.jpg,1
87,67b378b2d.jpg,1
88,6cda3efc5.jpg,1
89,5dae8046b.jpg,0
90,33c0f32f9.jpg,1
91,4f8709a6f.jpg,0
92,aaa8f133b.jpg,0
93,f68cd1e26.jpg,1
94,019775bce.jpg,1
95,92bf43c62.jpg,1
96,76e9caa35.jpg,1
97,7e3607a65.jpg,0
98,d43bf6f08.jpg,0
99,f3faa2d78.jpg,0
100,e8d147493.jpg,1
101,b3fb76f21.jpg,0
102,29e5d593e.jpg,0
103,8f9b33ef2.jpg,1
104,d3acd3501.jpg,0
105,175c4793d.jpg,1
106,cd4d0dd5b.jpg,0
107,d8ef3907b.jpg,1
108,1e7917593.jpg,0
109,2b9ccb638.jpg,1
110,7900a8df0.jpg,0
111,bc395765c.jpg,0
112,3693e6a1a.jpg,1
113,7b67e9363.jpg,0
114,6256ff15f.jpg,0
115,88eae1670.jpg,1
116,ead846331.jpg,1
117,946cce7a4.jpg,1
118,869fdcef0.jpg,0
119,3cee3cb08.jpg,0
120,e6f16686e.jpg,0
121,eb6d04636.jpg,0
122,cde32bb71.jpg,1
